,Unnamed: 0,Fuel,T(K),T_Error(%),P(atm),P_Error(%),Fuel(%),Oxidizer(%),Diluant(%),Equv(phi),Diluant Type,Time(μs),Mode_of_measurement,Species_name,Species_measurement_Error,Measured_wavelength(nm),Shocktube_dia(cm),Research_group,Data_Source,Primary_C,Secondary_C,Tertiary_C,Quaternary_C,Other_Atom,P_P,P_S,P_T,P_Q,S_S,S_T,S_Q,T_T,T_Q,Q_Q,P_H,S_H,T_H,label
189,323,CCCCCCCCCCCC,1127,±1,6.12,±9.3,0.6844,21.0,78.3156,0.6,N2,797,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,2,10,,,,0,2,0,0,9,0,0,0,0,0,6,20,0,7
190,324,CCCCCCCCCCCC,1050,±1,7.88,±9.3,0.9365,21.0,78.0635,0.82,N2,1034,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,2,10,,,,0,2,0,0,9,0,0,0,0,0,6,20,0,7
191,325,CCCCCCCCCCCC,1084,±1,8.02,±9.3,0.7871,21.0,78.2129,0.69,N2,738,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,2,10,,,,0,2,0,0,9,0,0,0,0,0,6,20,0,7
192,326,CCCCCCCCCCCC,1114,±1,8.5,±9.3,0.6885,21.0,78.3115,0.61,N2,640,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,2,10,,,,0,2,0,0,9,0,0,0,0,0,6,20,0,7
193,327,CCCCCCCCCCCC,1179,±1,8.53,±9.3,0.9497,21.0,78.0503,0.84,N2,220,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,2,10,,,,0,2,0,0,9,0,0,0,0,0,6,20,0,7
194,328,CCCCCCCCCCCC,1167,±1,7.88,±9.3,1.0246,21.0,77.9754,0.9,N2,215,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,2,10,,,,0,2,0,0,9,0,0,0,0,0,6,20,0,7
195,329,CCCCCCCCCCCC,1168,±1,6.37,±9.3,0.7339,21.0,78.2661,0.65,Ar,484,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,2,10,,,,0,2,0,0,9,0,0,0,0,0,6,20,0,7
196,330,CCCCCCCCCCCC,1209,±1,4.64,±9.3,0.18600000000000003,21.0,78.814,0.16,Ar,926,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,2,10,,,,0,2,0,0,9,0,0,0,0,0,6,20,0,7
197,331,CCCCCCCCCCCC,1163,±1,4.93,±9.3,0.2534,21.0,78.7466,0.22,Ar,1800,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,2,10,,,,0,2,0,0,9,0,0,0,0,0,6,20,0,7
198,332,CCCCCCCCCCCC,1192,±1,5.06,±9.3,0.3437,21.0,78.6563,0.3,Ar,1110,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,2,10,,,,0,2,0,0,9,0,0,0,0,0,6,20,0,7
199,333,CCCCCCCCCCCC,1078,±1,4.0,±9.3,0.2074,21.0,78.7926,0.18,Ar,5605,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,2,10,,,,0,2,0,0,9,0,0,0,0,0,6,20,0,7
200,334,CCCCCCCCCCCC,976,±1,4.87,±9.3,0.4056,21.0,78.5944,0.36,Ar,6220,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,2,10,,,,0,2,0,0,9,0,0,0,0,0,6,20,0,7
201,335,CCCCCCCCCCCC,903,±1,5.0,±9.3,0.9297,21.0,78.0703,0.82,Ar,7825,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,2,10,,,,0,2,0,0,9,0,0,0,0,0,6,20,0,7
202,336,CCCCCCCCCCCC,1241,±1,4.79,±9.3,0.3488,21.0,78.6512,0.31,Ar,337,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,2,10,,,,0,2,0,0,9,0,0,0,0,0,6,20,0,7
203,337,CCCCCCCCCCCC,1351,±1,4.51,±9.3,0.2064,21.0,78.7936,0.18,Ar,233,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,2,10,,,,0,2,0,0,9,0,0,0,0,0,6,20,0,7
204,338,CCCCCCCCCCCC,979,±1,5.04,±9.3,2.138,21.0,76.862,1.88,Ar,306,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,2,10,,,,0,2,0,0,9,0,0,0,0,0,6,20,0,7
205,339,CCCCCCCCCCCC,1025,±1,6.06,±9.3,1.659,21.0,77.34100000000001,1.46,Ar,543,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,2,10,,,,0,2,0,0,9,0,0,0,0,0,6,20,0,7
