,Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,log_T0/T,y_pred,y_act
57,1.0,1.501852701754163,0.0,3.044522437723423,0.05122950819672131,0.024292692569044483,7.730203966786707,7.845807502637805
59,1.0,1.5851452198650557,-0.11328068645896629,3.044522437723423,0.044722719141323794,-0.11154137473290744,6.343662376761825,6.375024819828097
67,1.0,1.9459101490553132,0.15357908792830058,3.044522437723423,0.05319148936170213,0.06187540371808745,7.887737711770853,7.8628820346414905
155,1.0,0.12221763272424911,0.0,1.8718021769015913,0.16056518946692358,-0.4427608928518612,4.481550287232534,4.465908118654584
163,1.0,0.17395330712343798,0.6931471805599453,2.5649493574615367,0.16778523489932887,-0.3987761199573677,4.591744144149964,4.605170185988092
167,1.0,0.14842000511827322,0.6931471805599453,2.5649493574615367,0.16479894528675015,-0.41673470036639526,4.423063791112014,4.418840607796598
183,1.0,0.20701416938432612,-1.6094379124341003,1.1314021114911006,0.04251700680272109,-0.38526240079064494,5.164687754923114,5.19295685089021
188,1.0,0.19885085874516517,-1.6094379124341003,1.1314021114911006,0.04122691292875989,-0.41607528722017995,4.863540991445272,4.820281565605037
208,1.0,0.22314355131420976,-1.0216512475319814,1.4816045409242156,0.06662225183211193,-0.40613155265132495,4.830711771812997,4.8283137373023015
266,1.0,1.3001916620664788,-3.506557897319982,-1.1086626245216111,0.06493506493506493,-0.4317824164255378,5.205104505898727,5.198497031265826
270,1.0,0.5128236264286637,-2.995732273553991,-0.5978370007556204,0.06844626967830253,-0.37912113276856246,5.882928133581714,5.902633333401366
