,Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,y_pred,y_act
12,1.0,1.6974487897568136,-0.2231435513142097,2.0794415416798357,0.35587188612099646,0.7117437722419929,4.153361178561839,4.418840607796598
138,1.0,0.7608058290337602,-0.8119307165499123,1.3862943611198906,0.2944640753828033,0.5889281507656066,3.602327143940566,3.6109179126442243
164,1.0,0.28517894223366247,0.20701416938432612,1.8196988379172965,0.2826455624646693,0.5652911249293386,3.193165707895073,3.258096538021482
165,1.0,0.28517894223366247,0.20701416938432612,1.8196988379172965,0.27159152634437805,0.5431830526887561,3.017302912311747,2.9444389791664403
217,1.0,0.7030975114131134,-2.995732273553991,-1.1239300966523995,0.1419647927314026,0.5678591709256104,3.698854937819738,3.6888794541139363
244,1.0,0.5364933705145685,-1.3862943611198906,1.3862943611198906,0.10871928680147858,0.6523157208088715,3.5896698452183027,3.8918202981106265
413,1.0,0.7654678421395714,-3.506557897319982,-0.7657178733947807,0.036635404454865184,0.5861664712778429,3.5905328874008116,3.6109179126442243
511,1.0,0.8153648132841944,-3.146555163288575,-0.2876820724517809,0.030543677458766034,0.6108735491753207,3.5873041408653474,3.58351893845611
548,1.0,3.295836866004329,0.11600367575630613,3.033509637888021,0.0687757909215956,1.375515818431912,6.772696502978597,6.695798917058491
549,1.0,3.3568971227655755,0.11600367575630613,3.033509637888021,0.0646830530401035,1.2936610608020698,6.23496593590389,6.320768294250582
588,1.0,2.740840023925201,-2.3025850929940455,1.308332819650179,0.035161744022503515,0.7032348804500703,3.417384158901908,3.4011973816621555
